instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,last_update_time,stalled_iterations,largest_iteration_offset
doublecenter-76-n50,50,doublecenter,1701.006,6994.2,2367.6,20.459076,4626.6,1152
doublecenter-alpha_3-76-n50,50,doublecenter,1701.006,7044.6,2367.6,20.15719,4677,1152
doublecenter-78-n50,50,doublecenter,1617.988,6969.6,1318.2,11.392678,5651.4,539.2
doublecenter-alpha_3-73-n50,50,doublecenter,1365.632,6980.2,2309.8,19.848096,4670.4,1275.6
doublecenter-alpha_1-80-n50,50,doublecenter,1525.668,6957,3924.2,33.65599,3032.8,2487.6
doublecenter-alpha_1-71-n50,50,doublecenter,1535.41,6989.2,2402,20.795294,4587.2,1094
doublecenter-71-n50,50,doublecenter,1535.41,6922.4,2402,21.001034,4520.4,1094
doublecenter-alpha_1-75-n50,50,doublecenter,1571.016,6942.8,4301.4,37.25424,2641.4,2613
doublecenter-alpha_1-77-n50,50,doublecenter,1321.8,6977.4,1666.6,14.232902,5310.8,648.2
doublecenter-alpha_1-73-n50,50,doublecenter,1365.632,6965,2309.8,19.801808,4655.2,1275.6
doublecenter-79-n50,50,doublecenter,1338.85,7024.4,3442.6,29.35204,3581.8,1822
doublecenter-alpha_3-77-n50,50,doublecenter,1321.8,6996.8,1666.6,14.49522,5330.2,648.2
doublecenter-80-n50,50,doublecenter,1525.668,7005,3924.2,33.75255,3080.8,2487.6
doublecenter-alpha_3-78-n50,50,doublecenter,1617.988,6936.4,1318.2,11.105894,5618.2,539.2
doublecenter-75-n50,50,doublecenter,1569.052,6944.8,4314.4,37.34116,2630.4,2613
doublecenter-alpha_3-71-n50,50,doublecenter,1535.41,6982,2402,20.642558,4580,1094
doublecenter-73-n50,50,doublecenter,1365.632,7004,2309.8,19.804542,4694.2,1275.6
doublecenter-alpha_3-79-n50,50,doublecenter,1338.85,6972,3442.6,29.5146,3529.4,1822
doublecenter-alpha_3-74-n50,50,doublecenter,1446.466,6913.2,2276.4,19.784086,4636.8,1317.8
doublecenter-alpha_3-72-n50,50,doublecenter,1472.026,6989.2,2873.6,24.77702,4115.6,1283
doublecenter-alpha_3-80-n50,50,doublecenter,1525.668,6968.4,3924.2,34.062358,3044.2,2487.6
doublecenter-77-n50,50,doublecenter,1321.8,7005.4,1666.6,14.456962,5338.8,648.2
doublecenter-alpha_1-74-n50,50,doublecenter,1446.466,7017.8,2276.4,19.706696,4741.4,1317.8
doublecenter-alpha_1-76-n50,50,doublecenter,1701.006,6979.6,2367.6,20.382456,4612,1152
doublecenter-alpha_1-72-n50,50,doublecenter,1472.026,6948.4,2873.6,24.95112,4074.8,1283
doublecenter-74-n50,50,doublecenter,1446.466,7009.6,2276.4,19.358908,4733.2,1317.8
doublecenter-alpha_3-75-n50,50,doublecenter,1570.64,6964,4303.2,37.12704,2660.8,2613
doublecenter-alpha_1-78-n50,50,doublecenter,1617.988,6873.4,1318.2,11.594712,5555.2,539.2
doublecenter-72-n50,50,doublecenter,1472.026,6997.4,2873.6,24.76534,4123.8,1283
doublecenter-alpha_1-79-n50,50,doublecenter,1338.85,7009,3442.6,29.52806,3566.4,1822
