num_nodes,instance_type,alpha,runtime,optimal_tsp_solution,best_fitness,opt_to_fit_dist,opt_to_fit_percent,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
75,singlecenter,3,15,1121.1662,604.7598,-516.4065,-46.0598%,761.6000,454.4800,15.0092,8.9159,307.1200,163.1200
75,singlecenter,3,30,1121.1662,602.4944,-518.6718,-46.2618%,1520.5200,775.3600,30.0101,15.2690,745.1600,345.9800
75,singlecenter,3,60,1121.1662,600.7440,-520.4222,-46.4179%,3037.3000,1349.9400,60.0104,26.5144,1687.3600,754.4200
75,singlecenter,3,120,1121.1662,600.0657,-521.1006,-46.4784%,6065.8800,2051.8800,120.0095,40.4804,4014.0000,1242.5600


100,singlecenter,1,15,1336.4124,1047.3737,-289.0387,-21.6280%,296.4000,219.2600,15.0245,10.9896,77.1400,107.7800
100,singlecenter,1,30,1336.4124,1046.1188,-290.2937,-21.7219%,578.7000,345.4800,30.0256,17.7140,233.2200,142.7000
100,singlecenter,1,60,1336.4124,1044.9473,-291.4651,-21.8095%,1150.2400,576.2600,60.0286,29.7120,573.9800,253.9800
100,singlecenter,1,120,1336.4124,1043.2047,-293.2077,-21.9399%,2288.4800,996.9200,120.0225,52.1269,1291.5600,483.3400

100,singlecenter,2,15,1336.6838,843.6887,-492.9952,-36.8820%,518.0400,390.5400,15.0168,11.2874,127.5000,118.0200
100,singlecenter,2,30,1336.6838,841.3479,-495.3360,-37.0571%,1032.4400,676.0600,30.0146,19.5916,356.3800,242.7200
100,singlecenter,2,60,1336.6838,840.1964,-496.4874,-37.1432%,2058.7400,1230.0000,60.0125,35.8061,828.7400,574.5600
