instance_name,num_nodes,instance_type,best_fitness,current_iteration,last_update_iteration,current_time,last_update_time,stalled_iterations,largest_iteration_offset
singlecenter-100-n100,100,singlecenter,1535.528,4755.6,4644.6,60.00738,58.633179999999996,111.0,883.2
singlecenter-alpha_1-97-n100,100,singlecenter,1683.0459999999998,4788.6,4540.6,60.00824,56.884220000000006,248.0,658.6
singlecenter-alpha_3-95-n100,100,singlecenter,1584.27,4842.4,4536.6,60.00766,56.306799999999996,305.8,741.0
singlecenter-93-n100,100,singlecenter,1611.7620000000002,4788.6,4276.2,60.00338000000001,53.397479999999995,512.4,511.8
singlecenter-99-n100,100,singlecenter,1375.788,4869.8,4338.0,60.003780000000006,53.40482000000001,531.8,584.0
singlecenter-alpha_1-98-n100,100,singlecenter,1742.944,4785.4,4327.8,60.00556,54.36116,457.6,738.2
singlecenter-alpha_1-96-n100,100,singlecenter,1662.5580000000002,4738.4,4275.2,60.009100000000004,54.03153999999999,463.2,517.0
singlecenter-98-n100,100,singlecenter,1742.944,4789.8,4327.8,60.006820000000005,54.03524,462.0,738.2
singlecenter-97-n100,100,singlecenter,1682.1920000000002,4859.2,4554.4,60.006299999999996,56.38833999999999,304.8,658.6
singlecenter-alpha_1-94-n100,100,singlecenter,1895.884,4774.8,4274.6,60.005039999999994,53.59388,500.2,838.0
singlecenter-alpha_3-97-n100,100,singlecenter,1679.0939999999998,4878.2,4572.2,60.006539999999994,56.385259999999995,306.0,658.6
singlecenter-alpha_1-99-n100,100,singlecenter,1375.8480000000002,4848.0,4304.2,60.00684,53.36994,543.8,584.0
singlecenter-alpha_1-93-n100,100,singlecenter,1612.884,4797.2,4133.8,60.00501999999999,51.50208,663.4,434.2
singlecenter-96-n100,100,singlecenter,1659.248,4816.4,4291.2,60.00442,53.550419999999995,525.2,517.0
singlecenter-92-n100,100,singlecenter,1749.216,4847.8,4125.6,60.0064,51.209680000000006,722.2,972.0
singlecenter-alpha_3-93-n100,100,singlecenter,1612.884,4830.8,4133.8,60.00519999999999,51.19576,697.0,434.2
